"name","description",lat,lon
"Agence sap","112 boulevard de rochechouart   75018 paris 18ème 75018
01 42 64 28 66",48.88237,2.340559
"Agence seine et cite","81 rue de turenne  75003 paris 3ème 75003
01 53 68 64 02",48.860136,2.36446
"Agence solvimo paris 11","124 rue du chemin vert  75011 paris 11ème 75011
01 58 30 89 56",48.862026,2.384144
"Agence st louis en l'ile","10 rue boutarel  75004 paris 75004
01 43 29 30 00",48.852474,2.354032
"Agence stephane dorai","27 rue jean mermoz  75008 paris 75008
01 40 06 91 92",48.872006,2.312315
"Agence stimob","22 rue eugene jumin  75019 paris 75019
01 42 38 02 02",48.887657,2.392371
"Agence swixim republique","21 rue de la plaine  75020 paris 20ème 75020
01 77 37 70 97",48.850109,2.40158
"Agence t.g.a","39 avenue des gobelins  75013 paris 75013
01 44 08 61 21",48.835705,2.352912
"Agence thiphone immobilier","53 rue de belleville  75019 paris 75019
01 42 02 80 00",48.873218,2.381326
"Agence topim","65 av mozart  75016 paris 75016
01 45 24 55 55",48.854007,2.269143
"Agence twinsim","17 ave victor hugo  75116 paris 75116
01 45 00 52 60",48.872239,2.291696
"Agence ulys pately immobilier sarl","232 bd voltaire  75011 paris 75011
01 40 24 18 54",48.851944,2.389641
"Agence util","99 rue ordener  75018 paris 18ème 75018
01 42 57 02 02",48.892003,2.346678
"Agence vaneau","25 rue vaneau  75007 paris 75007
01 45 55 46 63",48.852942,2.319264
"Agence vaneau","64 avenue raymond poincare  75116 paris 75116
01 47 04 28 00",48.867918,2.285944
"Agence vaneau","13 rue vavin  75006 paris 75006
01 44 41 41 41",48.844218,2.331208
"Agence vaneau champ de mars","69 avenue de bosquet  75007 paris 75007
01 44 11 75 75",48.855882,2.305157
"Agence vaneau denfert rochereau","38 rue boulard  75014 paris 75014
01 45 45 01 85",48.833258,2.328305
"Agence vaneau marais","15 rue de sevigne  75004 paris 4ème 75004
01 42 74 16 16",48.856401,2.362494
"Agence vaneau saint charles - etude warbel","38 rue des entrepreneurs  75015 paris 15eme 75015
01 45 79 79 45",48.846398,2.285908
"Agence windsor invalides","148 rue de grenelle  75007 paris 75007
01 44 18 00 30",48.858163,2.31069
"Agenda immobilier","7 rue des quatre vents  75006 paris 75006
01 40 51 79 56",48.851702,2.337932
"Agentissimo","32 rue leopold bellan  75002 paris 75002
01 42 21 31 33",48.86674,2.345051
"Agentys paris daumesnil","8 rue crozatier  75012 paris 12ème 75012
01 82 28 96 96",48.845671,2.382776
"Ages@loc","99 rue legendre  75017 paris 17ème 75017
01 42 28 58 60",48.888483,2.321528
"Agi","4 passage du grand cerf  75002 paris 75002
01 40 36 84 92",48.86473,2.349827
"Agi prestige et patrimoine","54 avenue hoche  75008 paris 8ème 75008
06 23 54 60 66",48.875072,2.297681
"Agim conseil","12 rue du rocher  75008 paris 75008
01 44 67 83 00 / 06 67 50 54 55",48.875984,2.322927
"Ah conseil","66 avenue du maine  75014 paris 75014
01 72 87 16 71",48.839451,2.321692
"Aici paris","124 avenue victor hugo  75016 paris 75016
01 47 27 26 23",48.867732,2.280469
"Aidp","17 rue augereau  75007 paris 7ème 75007
01 73 75 06 58",48.857044,2.302285
"Aj consultants","231 rue st honore  75001 paris 1er 75001
01 55 46 83 73",48.866223,2.329201
"Ajc immobilier","209 rue saint maur  75010 paris 75010
01 42 01 72 04",48.872538,2.371184
"Akoya patrimoine","197 rue du faubourg saint honore  75008 paris 8ème 75008
01 45 63 19 19",48.876023,2.302718
"Aktualis conseil en immobilier","168b is r cardinet  75017 paris 17ème 75017
01 40 38 07 10",48.890044,2.317127
"Albou blanc","5 rue picot  75116 paris 75116
01 45 53 53 35",48.870831,2.281912
"Alesia conseil immobilier","71 avenue du général leclerc  75014 paris 75014
01 42 18 01 01",48.828368,2.3276
"Alexandre immobilier","167 rue de la pompe  75016 paris 16ème 75016
09 81 38 19 35",48.870062,2.282592
"Alize immobilier","90 rue du dessous des berges 75013 paris 75013
01 44 24 36 26",48.829291,2.372278
"Alliance patrimoine","9 rue de la collégiale  75005 paris 75005
01 42 27 26 87",48.837711,2.352156
"Allo location","21 rue cheroy 75017 paris 75017
01 45 22 45 22",48.8827,2.318296
"Alma transactions","29 rue lubeck  75116 paris 16ème 75116
01 45 05 10 95",48.865154,2.292057
"Alpha immobilier","9 rue philibert lucot  75013 paris 75013
01 45 82 98 98",48.822258,2.361738
"Alpha realty","59 rue d'amsterdam  75008 paris 75008
01 42 80 67 78",48.880676,2.326976
"Alpha saint paul","16 rue ferdinand duval  75004 paris 75004
01 44 61 90 80",48.856405,2.35948
"Alt immobilier","242 boulevard voltaire  75011 paris 75011
06 07 57 79 78",48.851389,2.390573
"Altamira conseil","25-27 rue danielle casanova 75001 paris 1er 75001
06 60 40 85 45",48.867955,2.331499
"Alter gestion","11 rue anatole de la forge  75017 paris 17ème 75017
01 55 37 26 04",48.876341,2.292324
"Althea immobilier","22 rue des boulainvilliers  75016 paris 75016
01 42 88 78 78",48.853788,2.275708
